run,ngram,top1,one_to_one,top3,top5,mean_rank,heldout_positions
28,5,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,5.285714285714286,242342331441412223241
29,2,0.5238095238095238,0.5238095238095238,0.7619047619047619,0.8571428571428571,3.4285714285714284,144411444221311223123
29,3,0.3333333333333333,0.38095238095238093,0.6666666666666666,0.8571428571428571,3.9047619047619047,144411444221311223123
29,4,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.6666666666666666,4.666666666666667,144411444221311223123
29,5,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5714285714285714,6.476190476190476,144411444221311223123
30,2,0.38095238095238093,0.2857142857142857,0.6666666666666666,0.9047619047619048,2.857142857142857,322322333223342443314
30,3,0.23809523809523808,0.2857142857142857,0.5714285714285714,0.8095238095238095,3.5714285714285716,322322333223342443314
30,4,0.19047619047619047,0.3333333333333333,0.6190476190476191,0.7142857142857143,3.9523809523809526,322322333223342443314
30,5,0.19047619047619047,0.2857142857142857,0.42857142857142855,0.5714285714285714,5.761904761904762,322322333223342443314
31,2,0.2857142857142857,0.23809523809523808,0.7142857142857143,0.8571428571428571,3.0476190476190474,313242424441412314221
31,3,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.6666666666666666,4.190476190476191,313242424441412314221
31,4,0.3333333333333333,0.19047619047619047,0.47619047619047616,0.6190476190476191,5.0,313242424441412314221
31,5,0.2857142857142857,0.23809523809523808,0.5714285714285714,0.5714285714285714,6.333333333333333,313242424441412314221
32,2,0.23809523809523808,0.42857142857142855,0.5714285714285714,0.8571428571428571,3.7142857142857144,424314432413112233311
32,3,0.19047619047619047,0.23809523809523808,0.6666666666666666,0.8095238095238095,4.142857142857143,424314432413112233311
32,4,0.2857142857142857,0.23809523809523808,0.47619047619047616,0.47619047619047616,5.571428571428571,424314432413112233311
32,5,0.2857142857142857,0.09523809523809523,0.42857142857142855,0.5238095238095238,6.0476190476190474,424314432413112233311
33,2,0.19047619047619047,0.23809523809523808,0.5714285714285714,0.8571428571428571,4.428571428571429,123144423314441124341
33,3,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.8095238095238095,4.571428571428571,123144423314441124341
33,4,0.19047619047619047,0.14285714285714285,0.47619047619047616,0.6190476190476191,5.714285714285714,123144423314441124341
33,5,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.5714285714285714,6.714285714285714,123144423314441124341
34,2,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.7619047619047619,4.380952380952381,143132131233211414422
34,3,0.3333333333333333,0.2857142857142857,0.5238095238095238,0.6190476190476191,5.190476190476191,143132131233211414422
34,4,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.5238095238095238,6.190476190476191,143132131233211414422
34,5,0.19047619047619047,0.14285714285714285,0.47619047619047616,0.5238095238095238,6.714285714285714,143132131233211414422
35,2,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.8571428571428571,3.3333333333333335,441341341214313134313
35,3,0.19047619047619047,0.23809523809523808,0.6666666666666666,0.8095238095238095,4.238095238095238,441341341214313134313
35,4,0.14285714285714285,0.19047619047619047,0.47619047619047616,0.6666666666666666,4.857142857142857,441341341214313134313
35,5,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.42857142857142855,6.380952380952381,441341341214313134313
36,2,0.47619047619047616,0.42857142857142855,0.6190476190476191,0.6666666666666666,4.0476190476190474,131242233243432111213
36,3,0.2857142857142857,0.23809523809523808,0.6190476190476191,0.7142857142857143,4.9523809523809526,131242233243432111213
36,4,0.23809523809523808,0.14285714285714285,0.47619047619047616,0.5714285714285714,5.9523809523809526,131242233243432111213
36,5,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.5238095238095238,7.285714285714286,131242233243432111213
37,2,0.14285714285714285,0.19047619047619047,0.5714285714285714,0.7619047619047619,3.9047619047619047,241321313111143133313
37,3,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.7142857142857143,4.619047619047619,241321313111143133313
37,4,0.09523809523809523,0.23809523809523808,0.38095238095238093,0.47619047619047616,6.142857142857143,241321313111143133313
37,5,0.14285714285714285,0.19047619047619047,0.3333333333333333,0.47619047619047616,6.809523809523809,241321313111143133313
38,2,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.8571428571428571,3.761904761904762,222313321333223333121
38,3,0.23809523809523808,0.09523809523809523,0.5238095238095238,0.6190476190476191,4.571428571428571,222313321333223333121
38,4,0.23809523809523808,0.19047619047619047,0.47619047619047616,0.5714285714285714,5.333333333333333,222313321333223333121
38,5,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.5238095238095238,5.238095238095238,222313321333223333121
39,2,0.2857142857142857,0.38095238095238093,0.7142857142857143,0.8571428571428571,3.380952380952381,332123431442434422332
39,3,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.7142857142857143,3.857142857142857,332123431442434422332
39,4,0.19047619047619047,0.14285714285714285,0.42857142857142855,0.5238095238095238,5.285714285714286,332123431442434422332
39,5,0.19047619047619047,0.23809523809523808,0.3333333333333333,0.47619047619047616,6.523809523809524,332123431442434422332
40,2,0.47619047619047616,0.6190476190476191,0.7142857142857143,0.8571428571428571,2.9523809523809526,222144134143132341431
40,3,0.38095238095238093,0.2857142857142857,0.47619047619047616,0.6666666666666666,4.333333333333333,222144134143132341431
40,4,0.19047619047619047,0.19047619047619047,0.5238095238095238,0.5714285714285714,5.857142857142857,222144134143132341431
40,5,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.5714285714285714,6.0,222144134143132341431
41,2,0.2857142857142857,0.38095238095238093,0.7142857142857143,0.9047619047619048,3.238095238095238,323241231122221413132
41,3,0.23809523809523808,0.2857142857142857,0.5238095238095238,0.7142857142857143,4.238095238095238,323241231122221413132
41,4,0.2857142857142857,0.19047619047619047,0.47619047619047616,0.6190476190476191,4.809523809523809,323241231122221413132
41,5,0.2857142857142857,0.23809523809523808,0.3333333333333333,0.47619047619047616,7.190476190476191,323241231122221413132
42,2,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.9523809523809523,2.7142857142857144,313342324441314344232
42,3,0.38095238095238093,0.3333333333333333,0.5714285714285714,0.7142857142857143,3.8095238095238093,313342324441314344232
42,4,0.23809523809523808,0.19047619047619047,0.5238095238095238,0.6666666666666666,4.476190476190476,313342324441314344232
42,5,0.23809523809523808,0.19047619047619047,0.42857142857142855,0.5714285714285714,6.0476190476190474,313342324441314344232
43,2,0.38095238095238093,0.23809523809523808,0.7142857142857143,0.8095238095238095,3.5714285714285716,434442314214321333341
43,3,0.19047619047619047,0.09523809523809523,0.5238095238095238,0.9047619047619048,3.7142857142857144,434442314214321333341
43,4,0.23809523809523808,0.19047619047619047,0.5238095238095238,0.7142857142857143,4.523809523809524,434442314214321333341
43,5,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.38095238095238093,7.238095238095238,434442314214321333341
44,2,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.8571428571428571,3.5714285714285716,313134243443412311231
44,3,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.5714285714285714,4.571428571428571,313134243443412311231
44,4,0.19047619047619047,0.19047619047619047,0.47619047619047616,0.47619047619047616,6.0,313134243443412311231
44,5,0.2857142857142857,0.19047619047619047,0.38095238095238093,0.47619047619047616,6.619047619047619,313134243443412311231
45,2,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.7619047619047619,3.5238095238095237,411222143143131131113
45,3,0.2857142857142857,0.23809523809523808,0.5714285714285714,0.6666666666666666,4.523809523809524,411222143143131131113
45,4,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.5238095238095238,6.0,411222143143131131113
45,5,0.14285714285714285,0.19047619047619047,0.42857142857142855,0.5238095238095238,6.238095238095238,411222143143131131113
46,2,0.2857142857142857,0.19047619047619047,0.6190476190476191,0.7619047619047619,4.666666666666667,143343333411241431434
46,3,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.6666666666666666,4.809523809523809,143343333411241431434
46,4,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.5238095238095238,6.142857142857143,143343333411241431434
46,5,0.14285714285714285,0.09523809523809523,0.38095238095238093,0.6190476190476191,6.666666666666667,143343333411241431434
47,2,0.3333333333333333,0.38095238095238093,0.6190476190476191,0.8095238095238095,3.5238095238095237,423332133122321132124
47,3,0.23809523809523808,0.23809523809523808,0.5714285714285714,0.7142857142857143,4.190476190476191,423332133122321132124
47,4,0.23809523809523808,0.3333333333333333,0.5714285714285714,0.6190476190476191,4.904761904761905,423332133122321132124
47,5,0.2857142857142857,0.14285714285714285,0.5238095238095238,0.6666666666666666,5.666666666666667,423332133122321132124
48,2,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.7619047619047619,4.0,231314223244421234343
48,3,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.8095238095238095,4.428571428571429,231314223244421234343
48,4,0.23809523809523808,0.14285714285714285,0.47619047619047616,0.6666666666666666,5.0,231314223244421234343
48,5,0.2857142857142857,0.19047619047619047,0.42857142857142855,0.47619047619047616,6.142857142857143,231314223244421234343
49,2,0.2857142857142857,0.14285714285714285,0.47619047619047616,0.7619047619047619,4.380952380952381,341412323134123432321
49,3,0.19047619047619047,0.14285714285714285,0.6190476190476191,0.7619047619047619,4.857142857142857,341412323134123432321
49,4,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.5238095238095238,5.809523809523809,341412323134123432321
49,5,0.2857142857142857,0.38095238095238093,0.42857142857142855,0.5714285714285714,6.0,341412323134123432321
50,2,0.2857142857142857,0.2857142857142857,0.6190476190476191,0.7619047619047619,3.5714285714285716,414332334333213224144
50,3,0.2857142857142857,0.09523809523809523,0.6666666666666666,0.8571428571428571,3.4285714285714284,414332334333213224144
50,4,0.2857142857142857,0.19047619047619047,0.42857142857142855,0.6666666666666666,4.285714285714286,414332334333213224144
50,5,0.23809523809523808,0.14285714285714285,0.5238095238095238,0.6190476190476191,4.904761904761905,414332334333213224144
51,2,0.23809523809523808,0.14285714285714285,0.6666666666666666,0.8571428571428571,4.190476190476191,122342344444323311321
51,3,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7619047619047619,5.0476190476190474,122342344444323311321
51,4,0.14285714285714285,0.09523809523809523,0.6190476190476191,0.7142857142857143,5.0476190476190474,122342344444323311321
51,5,0.14285714285714285,0.14285714285714285,0.38095238095238093,0.5238095238095238,6.809523809523809,122342344444323311321
52,2,0.3333333333333333,0.23809523809523808,0.7142857142857143,0.7619047619047619,3.6666666666666665,231344314241421343422
52,3,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.7142857142857143,4.428571428571429,231344314241421343422
52,4,0.23809523809523808,0.3333333333333333,0.5714285714285714,0.6190476190476191,4.9523809523809526,231344314241421343422
52,5,0.2857142857142857,0.19047619047619047,0.42857142857142855,0.5714285714285714,5.809523809523809,231344314241421343422
53,2,0.19047619047619047,0.23809523809523808,0.6190476190476191,0.8571428571428571,4.190476190476191,112341423441344321323
53,3,0.23809523809523808,0.2857142857142857,0.47619047619047616,0.6666666666666666,4.809523809523809,112341423441344321323
