budget,run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
575,20,200.0,153.0,3.925925925925926,1.5268311525019411,0.04377104377104377,0.003367003367003367,0.04403780700540293,0.12258111211456654,0.12662406875479268,1.0,0.03125,0.0
575,21,203.0,155.0,4.1313131313131315,1.6836296247680465,0.04713804713804714,0.020202020202020204,0.041186781158242924,0.09874649460501866,0.1447783942217202,1.0,0.0,0.0
575,22,196.0,145.0,3.9966329966329965,1.6605915876169202,0.04040404040404041,0.010101010101010102,0.04998325825191215,0.11477575512732291,0.1438987874796486,1.0,0.0,0.0
575,23,187.0,132.0,3.872053872053872,1.6341659876561745,0.06060606060606061,0.010101010101010102,0.03415108944976088,0.09762999792238045,0.1253993507500099,1.0,0.0625,0.0
575,24,177.0,122.0,3.7306397306397305,1.6313956538181953,0.06060606060606061,0.006734006734006734,0.04382760929016759,0.1166875750815909,0.11099355562950133,1.0,0.03125,0.0
575,25,200.0,142.0,4.063973063973064,1.6954926499026106,0.06060606060606061,0.006734006734006734,0.041970479137984934,0.11207222670928721,0.13351481870042775,1.0,0.03125,0.0
575,26,191.0,136.0,3.993265993265993,1.6595672349627961,0.06734006734006734,0.013468013468013467,0.03417495228288948,0.08938522223192223,0.11032898999661134,1.0,0.0,0.0
575,27,185.0,130.0,3.9865319865319866,1.6329376225930652,0.05387205387205387,0.013468013468013467,0.04735396522986662,0.1344715895481102,0.15434886206487022,1.0,0.03125,0.0
575,28,200.0,155.0,4.161616161616162,1.6270466771746692,0.020202020202020204,0.003367003367003367,0.03963737171192057,0.09825948972782904,0.1136550040406699,1.0,0.03125,0.0
575,29,195.0,147.0,4.084175084175084,1.6173466474753457,0.03367003367003367,0.010101010101010102,0.04267073322249891,0.12178234174925087,0.1035105869324165,1.0,0.0,0.0
575,30,180.0,115.0,3.8922558922558923,1.6314998868057269,0.06397306397306397,0.010101010101010102,0.04140785706819992,0.11540516057022973,0.12611219811580704,1.0,0.0,0.0
575,31,195.0,138.0,4.063973063973064,1.6286414902155584,0.037037037037037035,0.013468013468013467,0.036980335005261426,0.09939555450864346,0.11040627269967512,1.0,0.0,0.0
575,32,200.0,149.0,4.077441077441078,1.6889608456416698,0.04377104377104377,0.020202020202020204,0.0348098486662127,0.09603855400217656,0.1408585018782415,1.0,0.09375,0.0
575,33,184.0,131.0,3.8518518518518516,1.5991174770243908,0.05723905723905724,0.006734006734006734,0.04700702762089136,0.1246352259692304,0.12403748576929195,1.0,0.09375,0.0
575,34,185.0,131.0,3.8855218855218854,1.5592752180901164,0.04377104377104377,0.013468013468013467,0.04542922488509824,0.1301008420071563,0.1302953012111298,1.0,0.0,0.0
575,35,196.0,148.0,4.074074074074074,1.7216881254301077,0.04377104377104377,0.020202020202020204,0.036739773397524,0.10838869735841532,0.1299586893136126,1.0,0.09375,0.0
575,36,192.0,142.0,3.9494949494949494,1.661854086309399,0.05723905723905724,0.013468013468013467,0.03612163135815017,0.09893049833714604,0.10242393921227051,1.0,0.0625,0.0
575,37,195.0,138.0,4.148148148148148,1.6549909024351268,0.030303030303030304,0.010101010101010102,0.044135054032369274,0.10421371931878556,0.12348607231287859,1.0,0.03125,0.0
575,38,192.0,140.0,4.0,1.6917307297418411,0.0707070707070707,0.006734006734006734,0.037708960170638704,0.09758645784164739,0.10969554181942717,1.0,0.0,0.0
575,39,184.0,126.0,3.973063973063973,1.634831833508748,0.05387205387205387,0.006734006734006734,0.05095351895833337,0.12827905966131167,0.09848964524462894,1.0,0.0,0.0
575,40,193.0,145.0,4.013468013468014,1.6816960013320046,0.06060606060606061,0.010101010101010102,0.03952285132386042,0.09916087092748273,0.11788810484169776,1.0,0.0,0.0
575,41,189.0,134.0,3.8821548821548824,1.6005843007969451,0.04377104377104377,0.010101010101010102,0.05358319064961761,0.12485424555120166,0.12863079529655044,1.0,0.0,0.0
575,42,200.0,148.0,4.097643097643098,1.6938871580688424,0.05387205387205387,0.016835016835016835,0.03614402561964507,0.0950565524581269,0.11440491217108428,1.0,0.0625,0.0
