run,A2,HerbalA_outside_A2,VM_outside_HerbalA,Unattested,VM_total,Outside_A2_total,Generated_types,Hapax,A2_type_rate,HerbalA_type_rate,VM_type_rate
2023,0.569023569023569,0.18518518518518517,0.05387205387205387,0.1919191919191919,0.8080808080808081,0.23905723905723905,192.0,137.0,0.3958333333333333,0.6354166666666666,0.7135416666666666
2024,0.569023569023569,0.16835016835016836,0.04377104377104377,0.21885521885521886,0.7811447811447811,0.21212121212121213,191.0,139.0,0.4083769633507853,0.6387434554973822,0.6963350785340314
2025,0.5656565656565656,0.16835016835016836,0.04713804713804714,0.21885521885521886,0.7811447811447811,0.21548821548821548,193.0,150.0,0.38860103626943004,0.6269430051813472,0.6839378238341969
2026,0.5925925925925926,0.16161616161616163,0.05723905723905724,0.18855218855218855,0.8114478114478114,0.21885521885521886,180.0,128.0,0.4111111111111111,0.6166666666666667,0.7055555555555556
2027,0.5892255892255892,0.1447811447811448,0.05387205387205387,0.21212121212121213,0.7878787878787878,0.19865319865319866,187.0,137.0,0.39572192513368987,0.5935828877005348,0.6737967914438503
2028,0.5858585858585859,0.16161616161616163,0.020202020202020204,0.23232323232323232,0.7676767676767676,0.18181818181818182,185.0,129.0,0.40540540540540543,0.6108108108108108,0.6432432432432432
2029,0.5420875420875421,0.16498316498316498,0.04713804713804714,0.24579124579124578,0.7542087542087542,0.21212121212121213,185.0,125.0,0.3675675675675676,0.572972972972973,0.6378378378378379
2030,0.6161616161616161,0.13131313131313133,0.030303030303030304,0.2222222222222222,0.7777777777777778,0.16161616161616163,188.0,138.0,0.425531914893617,0.601063829787234,0.648936170212766
2031,0.5151515151515151,0.18518518518518517,0.037037037037037035,0.26262626262626265,0.7373737373737373,0.2222222222222222,198.0,151.0,0.35353535353535354,0.5909090909090909,0.6414141414141414
2032,0.5387205387205387,0.16498316498316498,0.04713804713804714,0.24915824915824916,0.7508417508417509,0.21212121212121213,199.0,150.0,0.36683417085427134,0.5879396984924623,0.6482412060301508
2033,0.6026936026936027,0.15151515151515152,0.04040404040404041,0.2053872053872054,0.7946127946127947,0.1919191919191919,176.0,122.0,0.3977272727272727,0.6022727272727273,0.6590909090909091
2034,0.5723905723905723,0.15151515151515152,0.04713804713804714,0.22895622895622897,0.7710437710437711,0.19865319865319866,188.0,134.0,0.4095744680851064,0.6117021276595744,0.6648936170212766
2035,0.5791245791245792,0.16161616161616163,0.037037037037037035,0.2222222222222222,0.7777777777777778,0.19865319865319866,177.0,125.0,0.4067796610169492,0.6101694915254238,0.672316384180791
2036,0.4882154882154882,0.18855218855218855,0.037037037037037035,0.28619528619528617,0.7138047138047138,0.2255892255892256,201.0,155.0,0.31840796019900497,0.5472636815920398,0.5970149253731343
2037,0.5218855218855218,0.20875420875420875,0.04377104377104377,0.2255892255892256,0.7744107744107744,0.25252525252525254,184.0,132.0,0.375,0.6141304347826086,0.657608695652174
2038,0.5723905723905723,0.15824915824915825,0.06060606060606061,0.20875420875420875,0.7912457912457912,0.21885521885521886,181.0,126.0,0.39779005524861877,0.5966850828729282,0.6740331491712708
2039,0.5656565656565656,0.1750841750841751,0.04713804713804714,0.21212121212121213,0.7878787878787878,0.2222222222222222,182.0,128.0,0.3901098901098901,0.6318681318681318,0.6923076923076923
