run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
660,188.0,141.0,4.111111111111111,1.5777635509388457,0.02356902356902357,0.010101010101010102,0.046183499623876446,0.1136804668471515,0.12211568534490727,1.0,0.0625,0.0
661,196.0,143.0,4.040404040404041,1.6033583772536946,0.04377104377104377,0.010101010101010102,0.03878783146750102,0.09520504886332518,0.10883451616002415,1.0,0.0,0.0
662,192.0,144.0,3.9764309764309766,1.5665216103435846,0.03367003367003367,0.003367003367003367,0.047111567315879156,0.11954985650010573,0.12844330582933583,1.0,0.0,0.0
663,184.0,131.0,3.925925925925926,1.608448203748775,0.050505050505050504,0.013468013468013467,0.03270742527037636,0.09590449504591392,0.10876009097842629,1.0,0.0,0.0
664,176.0,116.0,4.057239057239057,1.6977177550606783,0.050505050505050504,0.026936026936026935,0.039701478270970265,0.11177866219430214,0.10758795613912672,1.0,0.03125,0.0
665,180.0,125.0,3.9696969696969697,1.5534552264213692,0.04377104377104377,0.003367003367003367,0.03649218161864187,0.10589555608642606,0.10483812414486507,1.0,0.0625,0.0
666,198.0,147.0,4.101010101010101,1.7320213536775289,0.06397306397306397,0.02356902356902357,0.042535413691896146,0.10954730515576702,0.12367438887890002,1.0,0.0,0.0
667,180.0,131.0,3.8484848484848486,1.6019577859877987,0.05387205387205387,0.013468013468013467,0.03903710215115467,0.10798215543166649,0.1173061971732613,1.0,0.03125,0.0
668,174.0,118.0,3.946127946127946,1.5839451737974135,0.04713804713804714,0.010101010101010102,0.037651734427750314,0.11486063428923153,0.12419020770533817,1.0,0.0,0.0
669,188.0,136.0,4.063973063973064,1.6714925201943611,0.03367003367003367,0.016835016835016835,0.04568928933148557,0.11456693900381927,0.12619689871261877,1.0,0.03125,0.0
670,178.0,124.0,3.925925925925926,1.5916135115883527,0.030303030303030304,0.020202020202020204,0.03627659863901468,0.09608865838503228,0.0910376498210374,1.0,0.03125,0.0
671,199.0,149.0,4.117845117845118,1.6152424434417556,0.037037037037037035,0.016835016835016835,0.035620188757904146,0.12068018502466339,0.09780590199265722,1.0,0.03125,0.0
672,197.0,140.0,4.0,1.5933362917854281,0.05723905723905724,0.010101010101010102,0.034907984980692496,0.1019071080911769,0.10041843441502207,1.0,0.03125,0.0
673,193.0,147.0,4.070707070707071,1.6792606513188626,0.050505050505050504,0.013468013468013467,0.03337775203772477,0.10236828346586721,0.09176244098115935,1.0,0.0625,0.0
